Rank,Title,Points,Author,Comments,Link
1,EU chief opens door for Canada to become 'associate member',175,hackernj,110,https://www.bbc.com/news/articles/cjwyzrr9d3dko
2,Salesforce Global Outage,30,mabil,10,https://status.salesforce.com/products/all
3,"Mistral X Mozilla: Private, Multilingual AI Browsing",82,vertigoruntime,18,https://mistral.ai/news/mistral-x-mozilla/
4,Introducing System One Models and Jev,1470,albelfio,421,https://typesafe.ai/blog/introducing-system-one-models-and-jev
5,Learning Programming in an Age of LLMs,68,moneroloop2018,43,https://blog.ploeh.dk/2026/09/16/on-learning-programming-in-an-age-of-llms/
6,Show HN: An e-ink frame that hears birds and draws them as 1800s illustrations,1701,arnemunthekaas,210,https://github.com/arnegiacomo/fugleramme
7,Apple Reference Image: A New Approach for Verified Photography,295,imwally,205,https://security.apple.com/blog/apple-reference-image/
8,An update on Wayback Machine access,561,ChrisArchitect,300,https://blog.archive.org/2026/09/15/an-update-on-wayback-machine-access/
9,"Show HN: I made a flight simulator, except you're just a passenger",223,rkotcher,124,https://inflightsimulator.com/
10,Doing Everyone Else's Job,91,luu,44,https://yosefk.com/blog/doing-everyone-elses-job.html
11,Gemini 3.8 Live and 3.8 Live Extended Thinking,427,leumon,282,https://blog.google/innovation-and-ai/models-and-research/gemini-models/gemini-3-8-live-gemini-3-8-live-extended-thinking/
12,Building a Linux GPU Driver for the M4 Mac Mini in One Month,350,ADevWithAnIdea,195,https://codyho.dev/blog/gpu-driver/
13,Douglas Adams and the exterminated Doctor Who adventure,7,6LLvveMx2koXfwn,2,https://www.bbc.co.uk/news/articles/c8jdp38z4jgo
14,"Negativland, Culture Jamming, and the Art of Making Something New",88,bananaboy,22,https://blog.archive.org/2026/09/11/negativland-culture-jamming-and-the-art-of-making-something-new/
15,German Rheinmetall open-sources its Battlesuite connected weapon system protcol,232,summarity,81,https://rheinmetall.github.io/onboardapi-documentation/9.10.0/index.html
16,Recreating Voodoo Graphics and a Late-1990s Gaming PC on an FPGA,136,zdw,39,https://nand2mario.github.io/posts/2026/zsst-voodoo/
17,Intelligence per Watt: Measuring Intelligence Efficiency of Local AI,55,pythonic_hell,7,https://arxiv.org/abs/2511.07885
18,A software thing I built: GPS on a 25MHz 486-SX,32,JPLeRouzic,9,https://forum.vcfed.org/index.php?threads/a-software-thing-i-built-gps-on-a-25mhz-486-sx.1258966/
19,"Better routing, probe fixes, plugin updates in Freenet/Hyphanet 0.7.5 build 1507",7,ArneBab,0,https://www.hyphanet.org/freenet-hyphanet-075-build-1507-fix-probe-routing-plugins-and-upkeep.html
20,Why I'm still bearish on LLMs after Navier-Stokes,251,jaykru,298,https://dank.systems/posts/2026-09-15-ai-bear.html
21,We got admin access to Baseten's production GitHub,287,bearsyankees,167,https://www.strix.ai/blog/baseten-harbor-github-pat-takeover
22,Datamimic – don't let your coding agent invent its own test world,44,ake2l,7,https://github.com/rapiddweller/datamimic
23,Saving Jet Fuel,102,marklit,51,https://tech.marksblogg.com/scikit-decide-openap-optimal-flight-planning.html
24,Show HN: Capsule – Single-file web apps that save their data into SQLite,335,bashtian,142,https://withcapsule.app/
25,Let's make quality the norm again,409,ingve,428,https://www.forbrukerradet.no/short-life/
26,Chopping up books when they're physically too big,189,matt_kirkland,173,https://attainablefelicity.mattkirkland.com/20260915/cut-up-your-books.html
27,Suspected sabotage causes major Netherlands rail disruption,499,choult,445,https://www.bbc.com/news/articles/c8ly49w9g1edo
28,MartyPC – A Cycle-Accurate IBM PC/XT Emulator,22,yitchelle,2,https://github.com/dbalsom/martypc
29,Learning to solve hard problems in RL for LLMs by never giving up,101,natolambert,6,https://mnoukhov.github.io/posts/ngu/
30,The Beauty of Roundabouts,68,ngruhn,137,https://gruhn.me/blog/2026-09-14/
31,"WangNet – 1.8 MB, zero-dependency Numberwang adjudication in 11 languages",167,Liogra123,58,https://github.com/GraafHenk/numberwang
32,Jean-Pierre Serre turns 100,137,jzox,24,https://mathshistory.st-andrews.ac.uk/Biographies/Serre/
33,An interactive world map of the stories cultures have told,51,momentmaker,6,https://originmap.sunnyguha.com/
34,Stay discoverable in search while disallowing AI training,76,djfergus,43,https://blog.cloudflare.com/accountable-mixed-use-ai-crawlers/
35,"Devastated father says his 9-year-old son spent $118,000 on YouTube ads",4,vanburen,1,https://www.tomshardware.com/video-games/devastated-father-says-his-9-year-old-son-spent-usd118-000-on-youtube-ad-campaigns-for-his-minecraft-channel-using-a-company-credit-card-bill-racked-up-in-just-three-weeks-was-supposed-to-be-one-usd20-promotion
36,The Inference Hardware Revolution of 2026,150,vinhnx,17,https://spectrum.ieee.org/inference-hardware-revolution
37,Sierra digital cameras on the Apple II,39,ibobev,6,https://www.colino.net/wordpress/archives/2026/09/11/sierra-digital-cameras-on-the-apple-ii/
38,Jiga (YC W21) Is Hiring Product Engineer (Remote/US),1071,networked,449,https://jiga.io/about-us/?ashby_jid=0b75d72d-c92b-4dca-8062-09d298ada0bd
39,I can't stop thinking about Papua New Guinea,1071,networked,449,https://notnottalmud.substack.com/p/why-i-cant-stop-thinking-about-papua
40,Show HN: Hacking a $20 4G wireless hotspot into a texting device,191,bobili1234,33,https://bkovac.github.io/modem-thing/
41,25 years of mass surveillance is enough,865,iamnothere,318,https://www.schneier.com/blog/archives/2026/09/25-years-of-mass-surveillance-is-enough.html
